url,title,mem_score,view
https://www.youtube.com/watch?v=lEHM9HZf0IA,Diamond Eyes - Flutter [NCS Release],28305560,0.0
https://www.youtube.com/watch?v=LKaXY4IdZ40,"Whitney Houston, Mariah Carey - When You Believe (Official HD Video)",330080539,0.5
https://www.youtube.com/watch?v=lYxcW8jtFw0,MC G15 - Deu Onda (KondZilla),384721993,0.0
https://www.youtube.com/watch?v=Mme9REVuidw,Zouhair Bahaoui - Hasta Luego ft TiiwTiiw &amp; CHK #DreamTiiw2k17,285639147,0.0
https://www.youtube.com/watch?v=ms5Hfjd-2AI,Os Pontos Negros - Queda e Ascensão,495,0.125
https://www.youtube.com/watch?v=n4HTXYR-2AI,Sadhguru - D Neutrons Music | Turban Trap,61475,0.0
https://www.youtube.com/watch?v=nDjdsytJrf8,Simple Plan - Kiss Me Like Nobody’s Watching (Lyrics),730041,0.25
https://www.youtube.com/watch?v=ngJ71Np-qFY,Orli - Internet Explorer (Prod. Amaro JNT),2227,0.0
https://www.youtube.com/watch?v=nISI4qF55F4,T-Bone - Crazy Hispanic,274029,0.0
https://www.youtube.com/watch?v=Ny6BAUMZxT4,Huz - Early Morning Rain,3247,0.25
https://www.youtube.com/watch?v=o683V8-TAPQ,Opozit - X-oyu-L (Official VIDEO),109394,0.0
https://www.youtube.com/watch?v=ORurdsjkJMQ,Huz Kai - Crush (Visualizer),697,0.0
https://www.youtube.com/watch?v=p9LLoijPQfg,TREASURE - ‘MY TREASURE’ M/V,32396505,0.125
https://www.youtube.com/watch?v=PYM9NUU9Roc,โอเคป่ะ? (Yes or No) feat. นุช วิลาวัลย์ อาร์ สยาม : Flame เฟลม | Official MV,162189596,0.0
https://www.youtube.com/watch?v=QglaLzo_aPk,Julius Dreisig & Zeus X Crona - Invisible [NCS Release],109816676,0.125
https://www.youtube.com/watch?v=qkE-siH6Ed4,Huz kai - Ghost (Official Music Video),22985,0.125
https://www.youtube.com/watch?v=QtYDvqJgQqo,Coone ft. David Spekter - Faye (Official Lyric Video),2077604,0.5
https://www.youtube.com/watch?v=RhBb77hG0iw,Nerga3 Tany - Hamoot Wa Arga3 / Tamer Hosny - نرجع تاني - هموت و ارجع,8147111,0.0
https://www.youtube.com/watch?v=SZaZU_qi6Xc,Carole Samaha - Esma'ny (Official Music Video) | كاروول سماحة - إسمعني - الكليب الرسمي,7567147,0.0
https://www.youtube.com/watch?v=T4stQxboYKM,NASSIMA AIT AMI &amp; YACINE YEFSAH - HUZ A YAMINA,353417,0.0
https://www.youtube.com/watch?v=t7-OcRIdUu8,Edgardo Donato - Se Va La Vida,178723,0.25
https://www.youtube.com/watch?v=Tfypj4UwvvA,Going Deeper feat. Davis Mallory - Believe | #GANGSTERMUSIC,39196,0.0
https://www.youtube.com/watch?v=ThtO-8h-qfY,Briango - Bachata de Amor  Lyrics,397,0.0
https://www.youtube.com/watch?v=tnOuMlDUgu8,Justin Sane &amp; Huz - It&#39;s Not Over (Official Music Video),1329,0.0
https://www.youtube.com/watch?v=tnzybViYYHw,MC G15 - Cara Bacana (KondZilla),248408218,0.125
https://www.youtube.com/watch?v=TzhhbYS9EO4,Boubkeur ... Huz Huz  ( Audio Officiel ),737652,0.0
https://www.youtube.com/watch?v=vhWoHF9-qfY,Parry Gripp - Nice Big Monster Truck [Official 4K Video],1177,0.0
https://www.youtube.com/watch?v=WGMa6qh-qFY,SOLO VOY - M R F,552,0.0
https://www.youtube.com/watch?v=xe8-Y1oVQeU,A Revolta Social “BP” ⛔ 🇧🇷 (ARS PRODUÇÕES),1305,0.0
https://www.youtube.com/watch?v=XEjLoHdbVeE,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),239374585,0.125
https://www.youtube.com/watch?v=xGPeNN9S0Fg,One Direction - Little Things,368990320,0.375
https://www.youtube.com/watch?v=xJt--P13x3s,04. Stiinte Oculte - Sa Cada Ploaia,113,0.0
https://www.youtube.com/watch?v=XJt-4KKCZBA,George X - Nahuati (PHCK Remix) [Sound Avenue],1893,0.0
https://www.youtube.com/watch?v=xjt-NS8R2LA,Garcia - Anseio (Prod. Pacific),405,0.0
https://www.youtube.com/watch?v=xJt-wTjGkN8,[M/V] 도시 of 레인보우 페이퍼 (Dosi of Rainbow paper) - 겨울향기 (Memories of winter) (Official Music Video),365,0.0
https://www.youtube.com/watch?v=xJt-xbN5S3E,Yani ft. Stian - WICKED VISION 2012,20036,0.125
https://www.youtube.com/watch?v=yKEAUgA8OvU,"M. Pokora, Dadju - Si on disait (Clip officiel)",11151346,0.25
https://www.youtube.com/watch?v=YOKq1VmEbtc,GQ-I do love you,35160528,0.0
https://www.youtube.com/watch?v=yPS0PGBsV8I,Radio Killer - Be Free [Official video HD],9697989,0.125
https://www.youtube.com/watch?v=Z5gvqq3ChII,Дома не сиди,2071914,0.0
https://www.youtube.com/watch?v=z7y6MykrE5s,MC G15 - Eu Falei Pra Elas (KondZilla),107847131,0.0
https://www.youtube.com/watch?v=ZpsV5SGa5R4,Lost Sky - Need You [NCS Release],4283587,0.125
https://www.youtube.com/watch?v=zYoVEbs-xe8,Thrill Collins &quot;Black or White&quot;,12040,0.25
