,Animal,Ding,Ding-dong,"Jingle, tinkle",Music,Music for children,Musical instrument,Ringtone,Speech,Ukulele,youtube_id,Dubstep,Hip hop music,Rapping,Sad music,Tender music,"Violin, fiddle","Wind instrument, woodwind instrument",Bowed string instrument,Flute,Folk music,Music of Bollywood,Traditional music,Acoustic guitar,Bluegrass,Blues,Country,Guitar,Plucked string instrument,Strum,Funk,Rhythm and blues,Soul music,Bass guitar,Effects unit,Electric guitar,"Inside, small room",Background music,Classical music,Electric piano,Keyboard (musical),New-age music,Piano,Grunge,Heavy metal,Progressive rock,Psychedelic rock,Punk rock,Rock and roll,Rock music,Bass drum,Drum,Drum kit,Drum machine,Accordion,Harmonica,Swing music,"Chink, clink",Clang,Singing,Maraca,Music of Africa,Music of Latin America,Rattle (instrument),Salsa music,Glockenspiel,"Marimba, xylophone",Singing bowl,Synthesizer,Vibraphone,Wedding music,Cello,Double bass,Orchestra,Theme music,Distortion,Reverberation,Ambient music,Electronic music,Electronic organ,Flamenco,Soundtrack music,Video game music,Lullaby,Electronica,Techno,Jazz,"Steel guitar, slide guitar",Tapping (guitar technique),Afrobeat,Middle Eastern music,Happy music,Pop music,Reggae,Hum,Scary music,Throbbing,Banjo,Disco,Brass instrument,Harmonic,Exciting music,House music,Trance music,Sampler,Percussion,Timpani,Mandolin,Pizzicato,Zither,Dance music,Electronic dance music,Bagpipes,Harpsichord,Echo,Organ,Scratching (performance technique),Funny music,Mallet percussion,Gong,Theremin,Whale vocalization,Christian music,Christmas music,Jingle (music),Television,Chorus effect,Harp,Electronic tuner,Rimshot,Snare drum,Ska,Filing (rasp),Rub,Sanding,Sawing,Wood,Music of Asia,Song,A capella,Humming,Vocal music,French horn,Trombone,Trumpet,Steelpan,Hammond organ,Clarinet,Saxophone,Bell,Jingle bell,Mantra,Vehicle,Bicycle bell,Glass,Wood block,Tubular bells,Whistle,Whistling,Bicycle,Car,"Outside, urban or manmade",Run,Skateboard,Foghorn,"Wail, moan",Didgeridoo,Insect,String section,Zing,Radio,Carnatic music,Beatboxing,Cymbal,Drum roll,Opera
0,0.020389357581734657,0.023465203121304512,0.19711104035377502,0.03297409415245056,0.7562308311462402,0.05393250286579132,0.03315020725131035,0.10535835474729538,0.06399761885404587,0.032170023769140244,normalize_5s_intro_xhmtXrtLkgo.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.3427536189556122,0.09854238480329514,0.09512914717197418,0.6524744033813477,0.05576512590050697,,0.057920120656490326,0.05501756817102432,,normalize_5s_intro_hjIhCG_nIPA.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024918006733059883,0.06197100877761841,0.024095676839351654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,0.8644087314605713,,0.1714780032634735,,,,normalize_5s_intro_UGTYqTKUl8w.wav,,,,,,,,,,0.05240171402692795,,,,,,,0.0546138621866703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05242560803890228,0.18609696626663208,0.10033290833234787,0.16340677440166473,0.14357317984104156,0.1951347142457962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,0.9109629988670349,,0.7882110476493835,,,,normalize_5s_intro_thc1MtNagC8.wav,,,,,,,,,,,,,0.6526194214820862,0.052004314959049225,0.04114358499646187,0.0638049989938736,0.799127995967865,0.6788789629936218,0.4942835569381714,,,,,,0.07908102869987488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,0.5640392303466797,,0.15698152780532837,,,,normalize_5s_intro_GIulOhzXufc.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17818619310855865,0.17926816642284393,,0.15585196018218994,,,,,,,,,,,,,,,,,,,,,,,0.09369806945323944,0.08111110329627991,0.07703715562820435,0.06667528301477432,0.10878785699605942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,0.8680344820022583,,0.36394041776657104,,,,normalize_5s_intro_sjlkxcwhpwA.wav,,,,,,,,,,,,,0.13583451509475708,0.051101554185152054,,0.0803428664803505,0.32014214992523193,0.2511318325996399,0.1248273253440857,,,,,,0.05330631881952286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04596935585141182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,0.7612501382827759,,0.32410818338394165,,0.034612853080034256,,normalize_5s_intro_XBTT9tSVsh0.wav,,,,,,,,,,,,,,,,,0.03394796699285507,,,,,,,,,0.04944732040166855,,,0.3211103677749634,0.3674962818622589,,0.33018437027931213,,,,,,,,,0.030552785843610764,,,,,,,,,,,,,,,,,0.04002723470330238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,0.7877245545387268,,0.1472932994365692,,,,normalize_5s_intro_Oq1n8fUxQZc.wav,,,,,,0.16497544944286346,,0.09560737758874893,,,,,,,,,,,,,,,,,,,0.05798117443919182,0.06752429157495499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12141533941030502,0.057538747787475586,0.1716403216123581,0.16135314106941223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,0.8142824769020081,,0.1929081380367279,,0.03976225107908249,,normalize_5s_intro_SgJMnEdtTXA.wav,,,,,,,,,,,,,,,,,0.12157662212848663,0.0763942301273346,0.04551691934466362,,,,,,,,,,,,,,,,0.04706055298447609,,,0.04634542390704155,,,0.06245578080415726,0.0575416274368763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,0.928867518901825,,0.7762491106987,,,,normalize_5s_intro_Jg9NbDizoPM.wav,,,,,,,,,,,,,,,,,0.8438135385513306,0.7360931038856506,,,,,0.16697269678115845,0.35428449511528015,0.2867189943790436,0.20222635567188263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16778115928173065,0.10373951494693756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,0.7662392258644104,,0.1209028884768486,,,,normalize_5s_intro_4wgo8K28RNM.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16771771013736725,0.23914574086666107,0.06923328340053558,0.17529259622097015,,,,,,,,,,,,,,,,,,,,,,,,,,0.2867824137210846,,,,,,,,,0.2698610723018646,0.12873850762844086,0.045008983463048935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,0.824429988861084,,0.7748868465423584,,0.08009753376245499,,normalize_5s_intro_WJs-_T8I74Y.wav,,,,,,,,,,,,,0.5939346551895142,,,0.03802010789513588,0.7918795347213745,0.6905713677406311,0.3702189028263092,,,,,,0.037091098725795746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035063736140728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,0.8725992441177368,,0.139811709523201,,,,normalize_5s_intro_EVSuxb6Ywcg.wav,,,,,,,,,,,,,,,,,0.07085516303777695,0.048652928322553635,,,,,,,,,0.041850488632917404,,,,,,,,0.05036526545882225,,,,,,0.045624539256095886,0.051012564450502396,,,,,,,,,,,,,,,,,,,,,,,,,,0.0546567402780056,,,0.042175959795713425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,0.836573600769043,,0.14007042348384857,,,,normalize_5s_intro_6TT_UgrRHq8.wav,,,,0.14429549872875214,0.06725537031888962,0.07788369804620743,,,,,,0.09650888293981552,,,,,,,,,,,,,,,0.11287540942430496,,,,0.10514189302921295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07752923667430878,,,,0.0669366866350174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,0.8751970529556274,,0.06492860615253448,,,,normalize_5s_intro_2JL_KcEzkqg.wav,,,,0.27194443345069885,0.10042554885149002,,,,,,,,,,,,,,,,,,,,,,0.38930559158325195,,,,0.08750049024820328,0.020565664395689964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1539689600467682,,,,,,,0.09232202917337418,0.025797365233302116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,0.7431291937828064,,0.22733184695243835,,,,normalize_5s_intro_zEWSSod0zTY.wav,,,,0.11935226619243622,,0.12904596328735352,,0.11996018141508102,,,,,,,,,,,,,,,,,,,,0.11839693784713745,,0.09941713511943817,,0.193449467420578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13932576775550842,,,,,,,,,,,,0.06159308925271034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,0.8415084481239319,,0.060749415308237076,,,,normalize_5s_intro_XgwqnGG-pbI.wav,0.04076547175645828,,,,,,,,,,,,,,,,,,,,,,,,,,0.12593050301074982,,,,0.07397601753473282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0988459587097168,,,,0.0988871306180954,,,0.062422625720500946,,,0.03833110257983208,0.03542429208755493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
