track,speedup
normalize_5s_intro_lE_747E_Sdg.wav,1.36
normalize_5s_intro_aQ06TfyA1Ks.wav,1.64
normalize_5s_intro_0aC-jOKuBFE.wav,1.18
normalize_5s_intro_j3DigipQ_hQ.wav,1.08
normalize_5s_intro_7ZgPGMfUVek.wav,1.42
normalize_5s_intro_rWznOAwxM1g.wav,1.16
normalize_5s_intro_E-8pyVBvCPQ.wav,1.34
normalize_5s_intro_nFOLhtsyvMA.wav,0.9
normalize_5s_intro_2ySLmwsfP4Q.wav,1.04
normalize_5s_intro_RpJz01guPMY.wav,1.416
normalize_5s_intro_7QQzDQceGgU.wav,1.22
normalize_5s_intro_HMvXE4Zs6ZA.wav,1.56
normalize_5s_intro_XkC8Uzl9pCY.wav,1.2
normalize_5s_intro_SZaZU_qi6Xc.wav,1.08
normalize_5s_intro_42O51bcJyq0.wav,1.16
normalize_5s_intro_Yyvo9O8fN-A.wav,1.3
normalize_5s_intro_HwcCBnfhsR4.wav,1.08
normalize_5s_intro_RhBb77hG0iw.wav,1.2
normalize_5s_intro_zk04E79riMQ.wav,0.8
normalize_5s_intro_EfZ-dVDySzc.wav,1.1
normalize_5s_intro_JeGhUESd_1o.wav,1.48
normalize_5s_intro_Et-YdmSo_3A.wav,1.12
normalize_5s_intro_pssWSj42t8M.wav,1.1
normalize_5s_intro_vgZv7Uu4YrA.wav,1.38
normalize_5s_intro_hjZqVw3qI9E.wav,1.14
normalize_5s_intro_99f0oH45TVc.wav,1.12
normalize_5s_intro_Skt_NKI4d6U.wav,0.8
normalize_5s_intro_sPlXrbVLdO8.wav,2.04
normalize_5s_intro_1X0SdKtnwo8.wav,1.12
normalize_5s_intro_i0MrGb1hT2U.wav,1.48
normalize_5s_intro_d7to9URtLZ4.wav,1
normalize_5s_intro_u8BxVzRG9bE.wav,1.32
normalize_5s_intro_gv7BRXvZJbI.wav,1.5
normalize_5s_intro_KT-m6qTJyN0.wav,0.9
